,Unnamed: 0,rating,reviewContent,clean_teks
4596,4596,5,"Produk bagus ,pengiriman cepat ,belum di coba ,semoga awet dan nggk rusak, thank lazada",produk bagus kirim cepat coba moga awet rusak thank lazada
4597,4597,5,brangnya bgus sya suda trima...,brangnya bgus suda trima
4598,4598,5,Sangat Memuaskan... Barangnya Rapi di tamba gantungan Favorit saya..MU,muas barang rapi tamba gantung favorit saya
4599,4599,5,bagus seeuai gambar free gantungan juga,bagus seeuai gambar free gantung
4600,4600,5,"barang sesuai,  fungsi oke,  mantull",barang sesuai fungsi oke mantull
4601,4601,5,"Oke,  nocomplaint.  Krn pesen buat suami. Good",oke nocomplaint pesan suami good
4602,4602,5,Alhamdulillah paketnya sesuai dengan keinginan tpi belum saya coba,alhamdulillah paket sesuai coba
4603,4603,5,"mantap, pengirimannya juga cepet",mantap kirim cepat
4604,4604,5,"bagus tapi belum saya coba , aowkwowkwok",bagus coba aowkwowkwok
4605,4605,5,mantap kaleee 🔥,mantap kaleee
4606,4606,5,"pengiriman cepet,, kualitas bagus udah 2 kali pesen d'toko ini best recommended 👍",kirim cepat kualitas bagus kali pesan dtoko best recommended
4607,4607,5,nan,nan
4608,4608,4,Bagus flashdisk nyq .... Tapi gantungannya jangan putri duyung,bagus flashdisk nyq gantung putri duyung
4609,4609,5,barang ok cepat sampai imut lagi,barang ok cepat imut
4610,4610,5,barang sudah sesuai,barang sesuai
4611,4611,5,sesuai dengan pesanan,sesuai pesan
4612,4612,5,flashdisk nya sesuai pesanan bagus.,flashdisk nya sesuai pesan bagus
4613,4613,5,"terimakasih paket flashdisk nya sudah sampai, barang kondisinya bagus terimakasih Lazada ,👍",terimakasih paket flashdisk nya barang kondisi bagus terimakasih lazada
4614,4614,5,"packing rapi, pengiriman tergolong cepat",packing rapi kirim golong cepat
4615,4615,5,"mantul, sdh sy gunakan lgs",mantul lgs
4616,4616,4,item diterima sesuai order tapi belum dipake dapat dompet koin ga ada gantungan boneka terima kadih,item terima sesuai order pakai dompet koin gantung boneka terima kadih
